code,type,name,priority_code,year
45 02,program,საქართველოს საპატრიარქოს წმინდა სიმონ კანანელის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,NA,2012
45 03,program,ა ა იპ – ბათუმისა და ლაზეთის ეპარქიის საგანმანათლებლო ცენტრისათვის გადასაცემი გრანტი,NA,2012
45 04,program,საქართველოს საპატრიარქოს წმიდა ნინოს სახელობის ობოლ უპატრონო და მზრუნველობამოკლებულ ბავშვთა პანსიონატისათვის გადასაცემი გრანტი,NA,2012
45 05,program,საქართველოს საპატრიარქოს ბათუმის წმინდა მოწამე ეკატერინეს სახელობის სათნოების სავანისათვის გადასაცემი გრანტი,NA,2012
45 06,program,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის სასულიერო სწავლების ცენტრისათვის გადასაცემი გრანტი,NA,2012
45 07,program,წმინდა გიორგი მთაწმინდელის მონასტერთან არსებული სარეაბილიტაციო ცენტრისათვის გადასაცემი გრანტი,NA,2012
45 08,program,საქართველოს საპატრიარქოს წმინდა ანდრია პირველწოდებულის სახელობის ქართული უნივერსიტეტისათვის გადასაცემი გრანტი,NA,2012
45 09,program,საქართველოს საპატრიარქოს ა ა იპ – ტბელ აბუსერისძის სახელობის უნივერსიტეტისათვის გადასაცემი გრანტი,NA,2012
45 10,program,ა ა იპ – სმენადაქვეითებულ ბავშვთა რეაბილიტაციის და ადაპტაციის ცენტრისათვის გადასაცემი გრანტი,NA,2012
45 11,program,საქართველოს საპატრიარქოს ტელევიზიის სუბსიდირების ღონისძიებები,NA,2012
45 12,program,ა ა იპ – ახალქალაქისა და კუმურდოს ეპარქიის სასწავლო ცენტრისთვის გადასაცემი გრანტი,NA,2012
45 13,program,,NA,2012
46 00,spending agency,სსიპ – ლევან სამხარაულის სახელობის სასამართლო ექსპერტიზის ეროვნული ბიურო,11,2012
47 00,spending agency,სსიპ – საქართველოს სტატისტიკის ეროვნული სამსახური – საქსტატი,NA,2012
47 01,program,სტატისტიკური სამუშაოების დაგეგმვა და მართვა,5,2012
47 02,program,სტატისტიკური სამუშაოების სახელმწიფო პროგრამა,5,2012
47 03,program,მოსახლეობისა და საცხოვრისების საყოველთაო აღწერა,5,2012
47 04,program,შინამეურნეობების ინტეგრირებული კვლევის პროგრამა,5,2012
47 05,program,სასოფლო მეურნეობების შერჩევითი კვლევის პროგრამა,5,2012
48 00,spending agency,ა ა იპ – საზოგადოებრივი ჯანდაცვის ცენტრალური რეფერალური ლაბორატორია,1,2012
49 00,spending agency,საერთო სახელმწიფოებრივი მნიშვნელობის გადასახდელები,NA,2012
49 01,program,საგარეო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,NA,2012
49 02,program,საშინაო სახელმწიფო ვალდებულებების მომსახურება და დაფარვა,NA,2012
49 03,program,საერთაშორისო ორგანიზაციებში საქართველოს მონაწილეობიდან გამომდინარე არსებული ვალდებულებები,NA,2012
49 04,program,ავტონომიური რესპუბლიკებისა და ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,NA,2012
49 04 01,sub-program,ავტონომიური რესპუბლიკებისათვის გადასაცემი ტრანსფერები,NA,2012
49 04 01 01,sub-sub-program,აფხაზეთის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,NA,2012
49 04 01 02,sub-sub-program,აჭარის ავტონომიური რესპუბლიკისათვის გადასაცემი ტრანსფერი,NA,2012
49 04 02,sub-program,ადგილობრივი თვითმმართველი ერთეულებისათვის გადასაცემი ტრანსფერები,NA,2012
49 05,program,საქართველოს პრეზიდენტის სარეზერვო ფონდი,NA,2012
49 06,program,საქართველოს მთავრობის სარეზერვო ფონდი,NA,2012
49 07,program,წინა წლებში წარმოქმნილი დავალიანების დაფარვისა და სასამართლო გადაწყვეტილებების აღსრულების ფონდი,NA,2012
49 08,program,საქართველოს რეგიონებში განსახორციელებელი პროექტების ფონდი,NA,2012
49 09,program,სოფლის მხარდაჭერის პროგრამა,NA,2012
49 10,program,საქართველოს სახელმწიფო ჯილდოებისათვის დაწესებული ერთდროული ფულადი პრემიების გაცემის ფინანსური უზრუნველყოფა,NA,2012
49 12,program,სახელმწიფო მმართველობის ორგანოების ეფექტიანად ფუნქციონირების ხელშეწყობა,NA,2012
49 13,program,დონორების მიერ დაფინანსებული საერთო სახელმწიფოებრივი გადასახდელები,NA,2012
49 13 01,sub-program,ორმხრივი რეგიონალური და რეგიონთაშორისი პროექტები (GIZ),NA,2012
49 13 02,sub-program,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (KfW),NA,2012
49 13 03,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (I ფაზა (KfW),NA,2012
49 13 04,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (II ფაზა (KfW),NA,2012
49 13 05,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (III ფაზა (KfW),NA,2012
49 13 06,sub-program,ხელვაჩაურის მუნიციპალიტეტის კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (KfW),NA,2012
49 13 07,sub-program,აჭარის მყარი ნარჩენების პროექტი (EBRD),NA,2012
49 13 08,sub-program,ათასწლეულის გამოწვევა საქართველოს (MCC),NA,2012
49 13 09,sub-program,რუსთავის მყარი ნარჩენების პროექტი (EBRD),NA,2012
49 14,program,დონორების მიერ დაფინანსებული საერთო სახელმწიფოებრივი გადასახდელები,NA,2012
49 14 01,sub-program,ორმხრივი რეგიონალური და რეგიონთაშორისი პროექტები (GIZ),NA,2012
49 14 02,sub-program,KfW-ის ადგილობრივი ოფისის საოპერაციო ხარჯების თანადაფინანსება (KfW),NA,2012
49 14 03,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (I ფაზა (KfW),NA,2012
49 14 04,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (II ფაზა (KfW),NA,2012
49 14 05,sub-program,ბათუმში კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (III ფაზა (KfW),NA,2012
49 14 06,sub-program,ხელვაჩაურის მუნიციპალიტეტის კომუნალური ინფრასტრუქტურის დაწესებულებათა რეაბილიტაცია (KfW),NA,2012
49 14 08,sub-program,ათასწლეულის გამოწვევა საქართველოს (MCC),NA,2012
49 14 09,sub-program,რუსთავის მყარი ნარჩენების პროექტი (EBRD),NA,2012
49 14 12,sub-program,ათასწლეულის გამოწვევა საქართველოს მეორე პროექტი (MCC),NA,2012
49 14 13,sub-program,გოდერძის ხეობაში სათხილამურო საბაგიროების მოწყობა (UniCredit Bank Austria AG),NA,2012
50 00,spending agency,დასაქმების საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,5,2012
51 00,spending agency,სსიპ საქართველოს ეროვნული საინვესტიციო სააგენტო,NA,2012
51 01,program,,NA,2012
51 02,program,ინვესტიციების მოზიდვის ხელშეწყობა,5,2012
51 03,program,,NA,2012
51 04,program,,NA,2012
51 04 01,sub-program,,NA,2012
51 04 01 01,sub-sub-program,,NA,2012
51 04 01 02,sub-sub-program,,NA,2012
51 04 02,sub-program,,NA,2012
51 05,program,,NA,2012
51 06,program,,NA,2012
51 07,program,,NA,2012
51 08,program,,NA,2012
51 09,program,,NA,2012
51 10,program,,NA,2012
51 11,program,,NA,2012
51 11 01,sub-program,,NA,2012
51 11 02,sub-program,,NA,2012
51 11 03,sub-program,,NA,2012
51 11 04,sub-program,,NA,2012
51 11 05,sub-program,,NA,2012
51 11 06,sub-program,,NA,2012
51 11 07,sub-program,,NA,2012
51 11 08,sub-program,,NA,2012
51 11 09,sub-program,,NA,2012
51 11 10,sub-program,,NA,2012
51 11 11,sub-program,,NA,2012
52 00,spending agency,,NA,2012
53 00,spending agency,,NA,2012
53 01,program,,NA,2012
53 02,program,,NA,2012
53 03,program,,NA,2012
53 04,program,,NA,2012
53 04 01,sub-program,,NA,2012
53 04 01 01,sub-sub-program,,NA,2012
53 04 01 02,sub-sub-program,,NA,2012
53 04 02,sub-program,,NA,2012
53 05,program,,NA,2012
53 06,program,,NA,2012
53 07,program,,NA,2012
53 08,program,,NA,2012
53 09,program,,NA,2012
53 10,program,,NA,2012
53 11,program,,NA,2012
53 11 01,sub-program,,NA,2012
53 11 02,sub-program,,NA,2012
53 11 03,sub-program,,NA,2012
53 11 04,sub-program,,NA,2012
53 11 05,sub-program,,NA,2012
53 11 06,sub-program,,NA,2012
53 11 07,sub-program,,NA,2012
54 00,spending agency,,NA,2012
55 00,spending agency,,NA,2012
56 00,spending agency,,NA,2012
57 00,spending agency,,NA,2012
58 00,spending agency,,NA,2012
58 01,program,,NA,2012
58 02,program,,NA,2012
58 03,program,,NA,2012
58 04,program,,NA,2012
58 04 01,sub-program,,NA,2012
58 04 01 01,sub-sub-program,,NA,2012
58 04 01 02,sub-sub-program,,NA,2012
58 04 02,sub-program,,NA,2012
58 05,program,,NA,2012
58 06,program,,NA,2012
58 07,program,,NA,2012
58 08,program,,NA,2012
58 09,program,,NA,2012
58 10,program,,NA,2012
58 10 01,sub-program,,NA,2012
58 10 02,sub-program,,NA,2012
58 10 03,sub-program,,NA,2012
58 10 04,sub-program,,NA,2012
58 10 05,sub-program,,NA,2012
58 10 06,sub-program,,NA,2012
58 10 07,sub-program,,NA,2012
58 11,program,,NA,2012
59 00,spending agency,,NA,2012
60 00,spending agency,,NA,2012
60 01,program,,NA,2012
60 02,program,,NA,2012
60 03,program,,NA,2012
60 04,program,,NA,2012
60 04 01,sub-program,,NA,2012
60 04 01 01,sub-sub-program,,NA,2012
60 04 02,sub-program,,NA,2012
60 05,program,,NA,2012
60 06,program,,NA,2012
60 07,program,,NA,2012
60 08,program,,NA,2012
60 09,program,,NA,2012
60 10,program,,NA,2012
60 12,program,,NA,2012
60 13,program,,NA,2012
61 00,spending agency,,NA,2012
62 00,spending agency,,NA,2012
62 01,program,,NA,2012
62 02,program,,NA,2012
62 03,program,,NA,2012
62 04,program,,NA,2012
62 04 01,sub-program,,NA,2012
62 04 01 01,sub-sub-program,,NA,2012
62 04 01 02,sub-sub-program,,NA,2012
62 04 02,sub-program,,NA,2012
62 05,program,,NA,2012
62 06,program,,NA,2012
62 07,program,,NA,2012
62 08,program,,NA,2012
62 09,program,,NA,2012
62 10,program,,NA,2012
62 11,program,,NA,2012
62 12,program,,NA,2012
62 12 01,sub-program,,NA,2012
62 12 02,sub-program,,NA,2012
62 12 03,sub-program,,NA,2012
62 12 04,sub-program,,NA,2012
62 12 06,sub-program,,NA,2012
62 12 07,sub-program,,NA,2012
62 12 09,sub-program,,NA,2012
62 12 10,sub-program,,NA,2012
63 00,spending agency,,NA,2012
64 00,spending agency,,NA,2012
64 01,program,,NA,2012
65 00,spending agency,,NA,2012
00,,ჯამური,NA,2013
01 00,spending agency,საქართველოს პარლამენტი და მასთან არსებული ორგანიზაციები,NA,2013
01 01,program,საკანონმდებლო საქმიანობა,6,2013
01 02,program,საბიბლიოთეკო საქმიანობა,4,2013
01 03,program,ჰერალდიკური საქმიანობის სახელმწიფო რეგულირება,4,2013
01 04,program,,NA,2013
02 00,spending agency,საქართველოს პრეზიდენტის ადმინისტრაცია,6,2013
02 01,program,საქართველოს პრეზიდენტის ადმინისტრაცია,NA,2013
02 02,program,,NA,2013
03 00,spending agency,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,NA,2013
03 01,program,საქართველოს ეროვნული უშიშროების საბჭოს აპარატი,2,2013
03 02,program,,NA,2013
04 00,spending agency,საქართველოს მთავრობის კანცელარია,6,2013
05 00,spending agency,სახელმწიფო აუდიტის სამსახური,6,2013
05 01,program,,NA,2013
05 02,program,,NA,2013
06 00,spending agency,საქართველოს ცენტრალური საარჩევნო კომისია,NA,2013
06 01,program,საარჩევნო გარემოს განვითარება,6,2013
06 02,program,არჩევნების ჩატარების ღონისძიებები,6,2013
06 03,program,საარჩევნო სისტემების განვითარება და სისტემისათვის მოხელეთა მომზადება გადამზადება,6,2013
06 04,program,პოლიტიკური პარტიებისა და არასამთავრობო სექტორის დაფინანსება,6,2013
06 06,program,,NA,2013
07 00,spending agency,საქართველოს საკონსტიტუციო სასამართლო,11,2013
08 00,spending agency,საქართველოს უზენაესი სასამართლო,11,2013
08 01,program,,NA,2013
09 00,spending agency,საერთო სასამართლოები,NA,2013
09 01,program,საერთო სასამართლოების სისტემის განვითარება და ხელშეწყობა,11,2013
09 02,program,მოსამართლეებისა და სასამართლოს თანამშრომლების მომზადება გადამზადება,4,2013
10 00,spending agency,საქართველოს იუსტიციის უმაღლესი საბჭო,11,2013
11 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია აბაშის ზუგდიდის მარტვილის მესტიის სენაკის ჩხოროწყუს წალენჯიხის ხობის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ფოთში,6,2013
12 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ლანჩხუთის ოზურგეთისა და ჩოხატაურის მუნიციპალიტეტებში,6,2013
13 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბაღდათის ვანის ზესტაფონის თერჯოლის სამტრედიის საჩხერის ტყიბულის წყალტუბოს ჭიათურის ხარაგაულის ხონის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ ქუთაისში,6,2013
14 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ახმეტის გურჯაანის დედოფლისწყაროს თელავის ლაგოდეხის საგარეჯოს სიღნაღისა და ყვარლის მუნიციპალიტეტებში,6,2013
15 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია დუშეთის თიანეთის მცხეთისა და ყაზბეგის მუნიციპალიტეტებში,6,2013
16 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ამბროლაურის ლენტეხის ონისა და ცაგერის მუნიციპალიტეტებში,6,2013
17 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ადიგენის ასპინძის ახალციხის ახალქალაქის ბორჯომისა და ნინოწმინდის მუნიციპალიტეტებში,6,2013
18 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია ბოლნისის გარდაბნის დმანისის თეთრი წყაროს მარნეულის წალკის მუნიციპალიტეტებსა და თვითმმართველ ქალაქ რუსთავში,6,2013
19 00,spending agency,სახელმწიფო რწმუნებულის – გუბერნატორის ადმინისტრაცია გორის კასპის ქარელისა და ხაშურის მუნიციპალიტეტებში,6,2013
2,,,NA,2013
20 00,spending agency,ევროპულ და ევროატლანტიკურ სტრუქტურებში ინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,9,2013
2012 წლის სახელმწიფო ბიუჯეტის ხარჯების შესრულება,,,NA,2013
21 00,spending agency,დიასპორის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,9,2013
22 00,spending agency,რეინტეგრაციის საკითხებში საქართველოს სახელმწიფო მინისტრის აპარატი,7,2013
23 00,spending agency,საქართველოს ფინანსთა სამინისტრო,NA,2013
23 01,program,სახელმწიფო ფინანსების მართვა,5,2013
23 02,program,შემოსავლების მობილიზება და გადამხდელთა მომსახურების გაუმჯობესება,5,2013
23 03,program,ეკონომიკური დანაშაულის პრევენცია,2,2013
23 04,program,ფინანსების მართვის ელექტრონული და ანალიტიკური უზრუნველყოფა,5,2013
23 05,program,საფინანსო სექტორში დასაქმებულთა კვალიფიკაციის ამაღლება,4,2013
23 06,program,,NA,2013
24 00,spending agency,საქართველოს ეკონომიკისა და მდგრადი განვითარების სამინისტრო,NA,2013
24 01,program,ეკონომიკური პოლიტიკა და სახელმწიფო ქონების მართვა,5,2013
24 01 01,sub-program,ეკონომიკური პოლიტიკის შემუშავება და განხორციელება,NA,2013
24 01 02,sub-program,სახელმწიფო ქონების მართვა,NA,2013
24 01 03,sub-program,,NA,2013
24 01 04,sub-program,,NA,2013
24 01 05,sub-program,,NA,2013
24 02,program,ტექნიკური და სამშენებლო სფეროს რეგულირება,3,2013
24 03,program,სტანდარტიზაციისა და მეტროლოგიის სფეროს განვითარება,5,2013
24 04,program,აკრედიტაციის პროცესის მართვა და განვითარება,5,2013
24 05,program,ტურიზმის განვითარების ხელშეწყობა,3,2013
24 06,program,საქართველოს მიერ საერთაშორისო ხელშეკრულებებით ნაკისრი ვალდებულებების ფარგლებში საქართველოს აეროპორტებში საჰაერო ხომალდების აფრენა დაფრენისათვის საჭირო მომსახურების ხარჯების ანაზღაურება მათ შორის წინა წლებში წარმოქმნილი დავალიანებების დაფარვა,2,2013
24 07,program,საფრანგეთის სასაქონლო დახმარება საფრანგეთი,3,2013
24 08,program,სათხილამურო ინფრასტრუქტურის განვითარება ზემო სვანეთში საფრანგეთის რესპუბლიკის მთავრობა,3,2013
24 09,program,ბაქო-თბილისი-ყარსის სარკინიგზო მაგისტრალის მშენებლობისათვის მარაბდა-ახალქალაქი-კარწახის მონაკვეთზე კერძო საკუთრებაში არსებული მიწების გამოსყიდვა კომპენსაცია,NA,2013
24 10,program,,NA,2013
24 12,program,,NA,2013
24 13,program,,NA,2013
25 00,spending agency,საქართველოს რეგიონული განვითარებისა და ინფრასტრუქტურის სამინისტრო,NA,2013
25 01,program,რეგიონებისა და ინფრასტრუქტურის განვითარების პოლიტიკის შემუშავება და მართვა,3,2013
25 02,program,საგზაო ინფრასტრუქტურის გაუმჯობესების ღონისძიებები,3,2013
25 02 01,sub-program,საავტომობილო გზების პროგრამების მართვა,NA,2013
25 02 02,sub-program,გზების მშენებლობა და მოვლა შენახვა,NA,2013
25 02 03,sub-program,ჩქაროსნული ავტომაგისტრალების მშენებლობა,NA,2013
25 03,program,რეგიონული და მუნიციპალური ინფრასტრუქტურის რეაბილიტაცია,3,2013
25 04,program,წყალმომარაგების ინფრასტრუქტურის აღდგენა რეაბილიტაცია,3,2013
25 05,program,იძულებით გადაადგილებული პირების მხარდაჭერა,7,2013
25 06,program,,NA,2013
26 00,spending agency,საქართველოს იუსტიციის სამინისტრო,NA,2013
26 01,program,სამართალშემოქმედებისა და ქვეყნის ინტერესების სამართლებრივი მხარდაჭერის მიზნით სახელმწიფო პოლიტიკის შემუშავება და მართვა,6,2013
26 02,program,გამოძიებაზე ზედამხედველობის სახელმწიფო ბრალდების მხარდაჭერის დანაშაულის წინააღმდეგ ბრძოლისა და პრევენციის პროგრამა,2,2013
26 03,program,ეროვნული საარქივო ფონდის დაცულობის მომსახურების თანამედროვე ტექნოლოგიების დანერგვის და დოკუმენტების ხელმისაწვდომობის უზრუნველყოფა,6,2013
26 04,program,იუსტიციის სამინისტროს სისტემის თანამშრომელთა გადამზადება და სასწავლო ცენტრის განვითარება,4,2013
26 05,program,ელექტრონული მმართველობის განვითარება,6,2013
26 06,program,იუსტიციის სახლების ფარგლებში მომსახურებათა ეფექტიანი წარმოება და ყველა დაინტერესებული პირისათვის ხელმისაწვდომობა,6,2013
26 07,program,ერთიანი სახელმწიფო საინფორმაციო ტექნოლოგიების მხარდაჭერის განვითარება,6,2013
26 08,program,დანაშაულის პრევენცია და ინოვაციური პროგრამები,2,2013
26 09,program,,NA,2013
26 10,program,,NA,2013
26 12,program,,NA,2013
26 14,program,,NA,2013
27 00,spending agency,საქართველოს სასჯელაღსრულების პრობაციისა და იურიდიული დახმარების საკითხთა სამინისტრო,NA,2013
27 01,program,პენიტენციური სისტემის პოლიტიკის შემუშავება და მართვა,2,2013
27 01 01,sub-program,,NA,2013
27 01 02,sub-program,,NA,2013
27 01 03,sub-program,,NA,2013
27 02,program,სისხლის სამართლის სისტემის რეფორმა,2,2013
27 02 01,sub-program,საერთაშორისო სტანდარტების შესაბამისი პენიტენციური სისტემის ჩამოყალიბება,NA,2013
27 02 02,sub-program,პრობაციის სრულყოფილი სისტემის ჩამოყალიბება,NA,2013
27 02 03,sub-program,უფასო იურიდიული დახმარება,NA,2013
27 03,program,პენიტენციური სისტემისათვის კვალიფიციური კადრების მომზადება,4,2013
27 04,program,ჯანმრთელობის დაცვის ხელშეწყობა პატიმრობისა და თავისუფლების აღკვეთის დაწესებულებებში,1,2013
28 00,spending agency,საქართველოს საგარეო საქმეთა სამინისტრო,NA,2013
28 01,program,საგარეო პოლიტიკის განხორციელება,9,2013
28 01 01,sub-program,საგარეო პოლიტიკის დაგეგმვა და მართვა,NA,2013
28 01 01 01,sub-sub-program,საქართველოს საგარეო საქმეთა სამინისტროს აპარატი,NA,2013
28 01 01 02,sub-sub-program,საზღვარგარეთ საქართველოს დიპლომატიური დაწესებულებები წარმომადგენლობები,NA,2013
28 01 02,sub-program,საერთაშორისო ორგანიზაციებში არსებული ფინანსური ვალდებულებების უზრუნველყოფა,NA,2013
28 01 03,sub-program,საერთაშორისო ხელშეკრულებების და სხვა დოკუმენტების თარგმნა და დამოწმება,NA,2013
28 02,program,მოხელეთა კვალიფიკაციის ამაღლება საერთაშორისო ურთიერთობების დარგში,4,2013
29 00,spending agency,საქართველოს თავდაცვის სამინისტრო,NA,2013
29 01,program,შეიარაღებული ძალების მზადყოფნის შენარჩუნება და ამაღლება,2,2013
29 02,program,სამხედრო განათლების განვითარება,4,2013
29 03,program,საქართველოს თავდაცვის სამინისტროს პერსონალის ჯანმრთელობის დაცვა და სოციალური უზრუნველყოფა,1,2013
29 04,program,თავდაცის სფეროში სამეცნიერო კვლევების ხელშეწყობა,2,2013
29 05,program,,NA,2013
29 06,program,,NA,2013
29 07,program,,NA,2013
29 08,program,,NA,2013
30 00,spending agency,საქართველოს შინაგან საქმეთა სამინისტრო,NA,2013
30 01,program,საზოგადოებრივი წესრიგი სახელმწიფო საზღვრის დაცვა და საერთაშორისო თანამშრომლობის განვითარება გაღრმავება,2,2013
30 02,program,ეროვნული საგანძურისა და დიპლომატიური წარმომადგენლობების დაცვის უსაფრთხოების დონის ამაღლება,2,2013
30 03,program,სამართალდამცავი სტრუქტურებისათვის მაღალკვალიფიციური კადრების მომზადება გადამზადება საარქივო ფონდების დიგიტალიზაცია სამეცნიერო კვლევითი საქმიანობა და მოქალაქეთა მომსახურება,4,2013
30 04,program,შინაგან საქმეთა სამინისტროს სისტემის მოსამსახურეთა ჯანმრთელობის დაცვის მომსახურეობით უზრუნველყოფა,1,2013
30 05,program,სახელმწიფო მატერიალური რეზერვების შექმნა და მართვა,2,2013
30 06,program,,NA,2013
31 00,spending agency,საქართველოს დაზვერვის სამსახური,2,2013
32 00,spending agency,საქართველოს განათლებისა და მეცნიერების სამინისტრო,NA,2013
32 01,program,განათლებისა და მეცნიერების სფეროში სახელმწიფო პოლიტიკის შემუშავება და პროგრამების მართვა,4,2013
32 02,program,ზოგადი განათლება,4,2013
32 02 01,sub-program,ზოგადსაგანმანათლებლო სკოლების დაფინანსება,NA,2013
32 02 02,sub-program,მასწავლებელთა პროფესიული განვითარების ხელშეწყობა,NA,2013
32 02 03,sub-program,უსაფრთხო საგანმანათლებლო გარემოს უზრუნველყოფა,NA,2013
32 02 04,sub-program,განსაკუთრებით ნიჭიერი ახალგაზრდების წახალისება,NA,2013
32 02 05,sub-program,განსაკუთრებული საჭიროების მქონე ბავშვების საგანმანათლებლო და საცხოვრებელი პირობებით უზრუნველყოფა და ინკლუზიური განათლების განვითარება,NA,2013
32 02 06,sub-program,მოსწავლეების სახელმძღვანელოებით უზრუნველყოფა,NA,2013
32 02 07,sub-program,ინგლისური ენის სწავლების გაძლიერება,NA,2013
32 02 08,sub-program,ოკუპირებული რეგიონების პედაგოგებისა და ადმინისტრაციულ ტექნიკური პერსონალის ფინანსური დახმარება,NA,2013
32 02 09,sub-program,სასჯელაღსრულების დაწესებულებებში განათლების მიღების ხელმისაწვდომობის პროგრამა,NA,2013
32 02 10,sub-program,მოსწავლე ახალგაზრდობის სამოქალაქო აქტიურობის განვითარება,NA,2013
32 02 11,sub-program,ეროვნული სასწავლო გეგმების დანერგვა და მონიტორინგი,NA,2013
32 02 12,sub-program,ზოგადი განათლების ხელშეწყობის პროგრამები,NA,2013
32 02 13,sub-program,,NA,2013
32 02 14,sub-program,,NA,2013
32 02 15,sub-program,,NA,2013
32 03,program,პროფესიული განათლება,4,2013
32 03 01,sub-program,პროფესიული განათლების ხელმისაწვდომობის და ხარისხის გაუმჯობესება,NA,2013
32 03 02,sub-program,ეროვნული უმცირესობების პროფესიული გადამზადება,NA,2013
32 03 03,sub-program,განათლების მართვის საინფორმაციო სისტემა,NA,2013
32 04,program,უმაღლესი საგანმანათლებლო და სამეცნიერო კვლევების პროგრამა,4,2013
32 04 01,sub-program,უმაღლესი საგანმანათლებლო დაწესებულებების ხელშეწყობა,NA,2013
32 04 02,sub-program,გამოცდების ორგანიზება,NA,2013
32 04 02 01,sub-sub-program,,NA,2013
32 04 02 02,sub-sub-program,,NA,2013
32 04 02 03,sub-sub-program,,NA,2013
32 04 02 04,sub-sub-program,,NA,2013
32 04 02 05,sub-sub-program,,NA,2013
32 04 02 05 01,sub-sub-sub-program,,NA,2013
32 04 03,sub-program,მეცნიერებისა და სამეცნიერო კვლევების ხელშეწყობა,NA,2013
32 04 03 01,sub-sub-program,სამეცნიერო გრანტების გაცემისა და სამეცნიერო კვლევების ხელშეწყობა,NA,2013
32 04 03 02,sub-sub-program,სამეცნიერო დაწესებულებების პროგრამები,NA,2013
32 04 03 03,sub-sub-program,მეცნიერებათა ეროვნული აკადემიის პროგრამების ხელშეწყობა,NA,2013
32 04 03 04,sub-sub-program,სოფლის მეურნეობის დარგში მეცნიერთა ხელშეწყობა,NA,2013
32 04 03 05,sub-sub-program,მეცნიერების აღდგენა და განვითარება,NA,2013
32 04 04,sub-program,სახელმწიფო სასწავლო სამაგისტრო გრანტები დოქტორანტურის პროგრამები და ახალგაზრდების წახალისება,NA,2013
32 04 05,sub-program,,NA,2013
32 05,program,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის განვითარება,4,2013
32 05 01,sub-program,საგანმანათლებლო დაწესებულებებისა და მოსწავლეების სტუდენტების ინფორმაციულ საკომუნიკაციო ტექნოლოგიებით უზრუნველყოფა,NA,2013
32 05 02,sub-program,საგანმანათლებლო დაწესებულებათა ინფრასტრუქტურის რეაბილიტაცია,NA,2013
32 05 02 01,sub-sub-program,,NA,2013
32 05 02 02,sub-sub-program,,NA,2013
32 05 02 03,sub-sub-program,,NA,2013
32 05 02 04,sub-sub-program,,NA,2013
32 05 03,sub-program,,NA,2013
32 05 04,sub-program,,NA,2013
32 05 05,sub-program,,NA,2013
32 06,program,,NA,2013
32 06 01,sub-program,,NA,2013
32 06 02,sub-program,,NA,2013
32 06 02 01,sub-sub-program,,NA,2013
32 06 02 02,sub-sub-program,,NA,2013
32 06 02 03,sub-sub-program,,NA,2013
32 06 02 04,sub-sub-program,,NA,2013
32 07,program,,NA,2013
32 07 01,sub-program,,NA,2013
32 07 02,sub-program,,NA,2013
32 07 02 01,sub-sub-program,,NA,2013
32 07 02 02,sub-sub-program,,NA,2013
32 07 02 03,sub-sub-program,,NA,2013
32 07 02 04,sub-sub-program,,NA,2013
32 07 02 05,sub-sub-program,,NA,2013
32 08,program,,NA,2013
32 09,program,,NA,2013
32 10,program,,NA,2013
33 00,spending agency,საქართველოს კულტურისა და ძეგლთა დაცვის სამინისტრო,NA,2013
33 01,program,საქართველოს კულტურისა და ძეგლთა დაცვის სფეროში პოლიტიკის შემუშავება და პროგრამების მართვა,8,2013
33 02,program,ხელოვნების დარგების განვითარების ხელშეწყობა და პოპულარიზაცია საქართველოში და მის ფარგლებს გარეთ,8,2013
